name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,wfactor
Todd Larkham,1.92038961589,178.0,28.0585000294,201.34822513,178.673653665,1.63582467285,3.00896319824,61.863857028,41.5384284928,22.9702164062,8.88559522298,9.04679219075,4.19006276204,8.38012552409,14.1548454854
Sonchat Ratiwatana,0.0,175.0,22.5156305304,806.730908111,14.0024549575,0.615878054914,0.615878054914,19.0922197023,12.7281464682,8.82758545377,2.8740975896,2.8740975896,1.02646342486,1.64234147977,4.87109416558
Daniel Chavez Morales,0.0,0.0,34.1820670773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.38905609893
Oscar Hernandez,0.584541469311,180.0,27.0639310388,94.0632778993,460.239029758,1.9806955092,2.30608490318,76.206876272,49.4494166551,31.7081562748,12.6943458634,11.344794996,4.72879022273,8.18476161655,57.7208266109
Daniel Langre,0.0,0.0,22.9075975359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Alex Kim,0.0,175.0,23.3958301328,191.512949011,208.317560909,1.99725640449,3.05063392275,83.3279780371,53.3270088149,32.8067772208,14.4904688629,12.3796368609,4.66619911153,8.89304033389,73.7546926681
Uros Vico,0.0,188.0,23.8832433762,175.574997621,128.986937635,8.45880599856,3.3618655083,88.0888050469,47.870746013,33.7883580101,19.8206715069,13.0500745061,6.13246250902,9.41194001444,3.20727664703
Manuel Sanchez,0.0,0.0,20.4477993307,569.247653048,43.4949046947,1.53073437413,1.06146874827,15.922031224,7.29399842216,4.43028123787,4.97436093117,2.8883046836,1.08605624757,2.09834999723,0.0741744375205
Marco Antonio Rojas,0.0,0.0,19.7180013689,1739.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0497870683679
Rodrigo Vallejo,0.0,0.0,27.0554414784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.71828182846
Salvador Navarro,0.0,180.0,23.8525390584,274.33150712,116.137290495,1.28124470947,0.696871296629,74.0936918042,51.9218670642,32.9218670642,13.8437341284,11.1468628318,3.05624894189,5.03436494799,17.7781121979
Jose Acasuso,0.931464538089,190.0,20.5559548449,76.8824869403,572.361705718,4.65399531466,2.82855950871,72.4913955944,38.480963952,27.2765772111,17.1923990405,11.1122244851,4.21035244189,6.94084754748,283.471075136
Richard Bloomfield,0.0,185.0,22.306775913,375.981097619,96.7224707387,11.4989204943,5.01551182133,92.3661021893,53.9770954467,40.3991193672,18.2645404555,13.9058705601,5.58308739779,8.2448641755,4.28010987836
