name,avg_seed,avg_ht,avg_age,avg_rank,avg_rank_pts,avg_aces,avg_dfs,avg_svpts,avg_1stIn,avg_1stWon,avg_2ndWon,avg_SvGms,avg_bpSaved,avg_bpFaced,hand,wfactor
Lukas Lacko,0.0534560147017,185.0,23.5963915583,108.644669915,565.184421481,4.80825821141,2.0573689742,65.6577109335,38.7302922134,27.4257375623,13.4331286054,10.1982205766,3.45373970976,5.92659370074,1,53.2803834996
Yassine Idmbarek,0.0,0.0,25.7454562844,877.426715913,14.496435167,0.0,1.00841441398,14.2126978731,9.980332014,4.80335252707,1.78567683844,1.57696580036,1.06464764679,2.00682599304,2,2.40667798146
Hyun Joon Kim,0.0,0.0,22.7554516,929.845675966,10.7427647224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1.03695309426
Gabriel Trifu,0.0,193.0,26.4007931973,318.532909025,107.785503916,3.958866335,3.49994023459,54.6974758208,32.532737407,21.943028161,9.9044363643,8.0732465959,3.50120909123,6.04632510034,1,23.4331306263
Ivan Cerovic,0.0,190.0,23.9370294319,355.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.818730753078
Young Jun Kim,0.0,0.0,24.8147321484,374.168148843,83.748507656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,8.83952829292
Rafael Avalos Brenes,0.0,0.0,38.9681353517,825.90364385,1.41907842586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,15.3242091708
Tommy Haas,4.62171956079,188.0,25.4462939489,38.9618855541,1448.65833238,6.87479754207,3.6819545718,72.4591651947,41.212477638,31.013378761,16.29370917,11.6102002227,3.40574610814,5.48591862927,1,740.580280108
Duck Hee Lee,0.0,0.0,18.674880219,139.0,431.0,3.0,6.0,138.0,69.0,49.0,32.0,20.0,4.0,8.0,1,0.0907179532894
Rafael Nadal,2.58917249902,185.0,21.2218010102,20.3546105476,5205.06969131,2.59235721777,1.49266032457,69.5816433361,48.153606571,34.1083878327,12.1512822671,11.3223732135,3.3298364779,5.09437594991,2,505.96016248
Noah Rubin,0.0,0.0,19.707652616,377.911094902,161.312198569,2.68972060593,3.37766837282,94.7415894325,56.3941323613,37.7595006828,19.898135672,14.5810635605,4.96260882368,8.8380147748,1,1.31218791643
Todd Larkham,1.28800022294,178.0,28.2463295008,199.309293653,179.623343434,1.92995755087,3.64477784256,75.3484095739,50.6962886262,28.0930492244,10.6851978444,11.0454299136,5.19256750722,10.3851350144,1,14.1468826475
Sonchat Ratiwatana,0.0,175.0,22.8134710521,796.93848585,11.8209242291,0.599622897695,0.599622897695,18.5883098285,12.3922065524,8.59459486696,2.79824018924,2.79824018924,0.999371496158,1.59899439385,1,7.46381452431
Abdulhamid Mubarak,0.0,0.0,21.8945927447,0.0,0.0,0.0,2.0,88.0,58.0,30.0,17.0,10.0,8.0,12.0,2,0.110803158362
Oscar Hernandez,0.502049513662,180.0,28.2581854161,87.6128865721,537.899388907,2.21714249993,2.42958176307,75.4767054562,49.0051189333,31.4843820188,12.5764174607,11.3723964352,4.60649196755,8.05117151316,1,137.052180632
Daniel Langre,0.0,0.0,22.9075975359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.22140275816
Alex Kim,0.0,175.0,23.6256052065,180.134781851,216.223963953,2.04153072059,3.01595464967,84.329243732,53.971181576,33.5682455689,15.0136052906,12.6206874569,4.7584676933,8.82643632986,1,58.4058207809
Hiu Tung Yu,0.0,0.0,21.2759032277,789.575109822,2.77494302935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,23.3783192303
Manuel Sanchez,0.0,0.0,20.7627470087,580.177461945,42.6620178698,1.74876409373,1.40953180478,21.1429770717,10.2819602705,6.73472805946,6.29318909793,3.69344565643,1.55574525016,2.67285016419,1,1.24089755297
